CONFIG_ID,NUMBER_OF_PRODUCT_SOLD,GMII,NUMBER_OF_VISIT
80043976-C,5,0.504435541843305,30
80003823-C,1456,0.309293752000969,1257
80023111-C,4246,0.38166041916109794,2529
50003369,376,0.169710135078048,260
80005193-C,362,0.36638317862400704,444
80022556-C,211,0.17405390639793103,183
80023045-C,80,0.16243028740074,227
80011389-C,1035,0.17280497145751503,2045
80037514-C,529,0.186207767080863,1401
80022889-C,1028,0.051790848937045,3521
80004628-C,538,0.203121650969112,1751
80013470-C,544,0.15406508116898998,695
80044675-C,23,0.241009410162738,200
50005161,1388,0.210044181166188,1015
80024813-C,92,0.364200225963901,238
80006193-C,74,0.072019209271725,123
80024590-C,7243,0.10628792981785198,18243
80015935-C,618,0.128227546787324,1672
80004636-C,190,0.18235940737239398,682
30104425,482,0.30169481515151003,767
80046130-C,9,-0.088106093040837,344
80041978-C,88,0.353668027064133,569
80040340-C,89,0.541975590102643,232
80011261-C,1252,0.17537779482121402,3286
80045172-C,176,-0.106816184883848,270
80027333-C,93,0.346169741895082,239
80016461-C,736,0.36221135996772297,465
80045011-C,23,0.47148465583798,481
80038722-C,1127,-0.04203373354646701,1440
80014398-C,3819,0.33628758412886606,3506
80008317-C,7127,0.15105721994081697,10794
80033922-C,150,0.283582059518831,435
80045706-C,632,0.026656878686852997,2707
80024505-C,460,0.08091563459747701,764
50002480,497,0.199181785854907,605
80017731-C,101,0.140335079424496,692
80024970-C,97,0.264816941029064,270
80035390-C,259,-0.01880957023016,813
80045550-C,316,-0.448740479994141,424
80029343-C,165,0.114162002120691,637
80010447-C,273,0.23034465993145997,700
80039584-C,8,0.12082851989497502,159
80031645-C,12,0.13487666158026598,249
80000028-C,196,0.21417547705017304,903
80003036-C,612,0.31809214921908396,1246
80019622-C,526,0.11143937252916901,523
80027152-C,623,0.126535623214558,794
80006258-C,246,0.079040367314695,577
80017696-C,361,0.19934489945312697,575
80011105-C,163,0.13261928038590898,577
80013408-C,4265,0.036299598819677,12652
80041463-C,60,0.175283590619229,467
80044872-C,407,0.17267625211197,1366
80021690-C,50,0.26018758960805605,162
30103552,1228,0.175983980880531,2032
80020768-C,231,0.295269459546875,280
80011965-C,175,0.23706516753514897,341
80020177-C,917,0.315502207915526,1756
80041374-C,191,-0.48439880915154704,209
80039902-C,996,0.11574506802546401,6612
70002828,427,0.275542953379689,581
80027963-C,94,-0.259012890313362,95
80038232-C,2515,0.16207349899653198,3134
80037325-C,50,0.24811651239748395,150
30105270,418,0.244763637964763,594
